Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2018,2018,toneladas,3018999.07
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,116,"Papas, patatas",2019,2019,kg/ha,23387
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2019,2019,toneladas,3123803.8
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,116,"Papas, patatas",2020,2020,kg/ha,20930.8
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2020,2020,toneladas,2625272
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,116,"Papas, patatas",2021,2021,kg/ha,21991.3
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2021,2021,toneladas,2596518.15
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,116,"Papas, patatas",2022,2022,kg/ha,21984.2
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2022,2022,toneladas,2526330.01
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,116,"Papas, patatas",2023,2023,kg/ha,22778.9
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2023,2023,toneladas,2573450.49
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,116,"Papas, patatas",2024,2024,kg/ha,22698.6
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,116,"Papas, patatas",2024,2024,toneladas,2492099
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,600,Papayas,2000,2000,kg/ha,25050.5
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,600,Papayas,2000,2000,toneladas,112627
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,600,Papayas,2001,2001,kg/ha,25082.4
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,600,Papayas,2001,2001,toneladas,110764
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,600,Papayas,2002,2002,kg/ha,23394.9
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,600,Papayas,2002,2002,toneladas,86912
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,600,Papayas,2003,2003,kg/ha,22464
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,600,Papayas,2003,2003,toneladas,91608
QCL,Cultivos y productos de ganadería,44,Colombia,5412,Rendimiento,600,Papayas,2004,2004,kg/ha,23268.4
QCL,Cultivos y productos de ganadería,44,Colombia,5510,Producción,600,Papayas,2004,2004,toneladas,103870
